state_abb,poll_end,obama,romney,obama_margin,first_debate
FL,2011-03-27,0.46,0.44,0.02,before
FL,2011-04-07,0.43,0.48,-0.05,before
FL,2011-04-12,0.42,0.43,-0.01,before
FL,2011-06-19,0.47,0.43,0.04,before
FL,2011-10-12,0.45,0.43,0.02,before
FL,2011-11-07,0.42,0.45,-0.03,before
FL,2011-11-17,0.42,0.46,-0.04,before
FL,2011-12-01,0.45,0.44,0.01,before
FL,2011-12-05,0.42,0.45,-0.03,before
FL,2011-12-07,0.48,0.41,0.07,before
FL,2012-01-08,0.43,0.46,-0.03,before
FL,2012-01-18,0.46,0.45,0.01,before
FL,2012-01-23,0.45,0.45,0,before
FL,2012-01-24,0.42,0.47,-0.05,before
FL,2012-01-26,0.44,0.48,-0.04,before
FL,2012-01-27,0.49,0.41,0.08,before
FL,2012-02-09,0.47,0.44,0.03,before
FL,2012-03-13,0.46,0.43,0.03,before
FL,2012-03-26,0.49,0.42,0.07,before
FL,2012-04-15,0.5,0.45,0.05,before
FL,2012-04-17,0.45,0.43,0.02,before
FL,2012-04-23,0.45,0.47,-0.02,before
FL,2012-04-25,0.45,0.46,-0.01,before
FL,2012-05-01,0.43,0.44,-0.01,before
FL,2012-05-08,0.46,0.45,0.01,before
FL,2012-05-20,0.48,0.44,0.04,before
FL,2012-05-21,0.41,0.47,-0.06,before
FL,2012-06-03,0.5,0.46,0.04,before
FL,2012-06-05,0.45,0.49,-0.04,before
FL,2012-06-18,0.46,0.42,0.04,before
FL,2012-06-25,0.45,0.41,0.04,before
FL,2012-07-02,0.46,0.45,0.01,before
FL,2012-07-03,0.48,0.44,0.04,before
FL,2012-07-09,0.45,0.46,-0.01,before
FL,2012-07-11,0.46,0.45,0.01,before
FL,2012-07-13,0.45,0.48,-0.03,before
FL,2012-07-19,0.48,0.43,0.05,before
FL,2012-07-29,0.48,0.47,0.01,before
FL,2012-07-30,0.51,0.45,0.06,before
FL,2012-08-14,0.47,0.48,-0.01,before
FL,2012-08-15,0.43,0.45,-0.02,before
FL,2012-08-17,0.4,0.54,-0.14,before
FL,2012-08-20,0.45,0.48,-0.03,before
FL,2012-08-21,0.49,0.46,0.03,before
FL,2012-08-26,0.5,0.46,0.04,before
FL,2012-09-02,0.47,0.48,-0.01,before
FL,2012-09-02,0.48,0.47,0.01,before
FL,2012-09-09,0.48,0.44,0.04,before
FL,2012-09-10,0.47,0.5,-0.03,before
FL,2012-09-11,0.42,0.42,0,before
FL,2012-09-11,0.49,0.44,0.05,before
FL,2012-09-12,0.44,0.48,-0.04,before
FL,2012-09-12,0.48,0.46,0.02,before
FL,2012-09-14,0.49,0.47,0.02,before
FL,2012-09-16,0.47,0.48,-0.01,before
FL,2012-09-18,0.49,0.44,0.05,before
FL,2012-09-18,0.49,0.46,0.03,before
FL,2012-09-19,0.48,0.47,0.01,before
FL,2012-09-19,0.47,0.48,-0.01,before
FL,2012-09-22,0.5,0.45,0.05,before
FL,2012-09-23,0.5,0.46,0.04,before
FL,2012-09-23,0.51,0.47,0.04,before
FL,2012-09-24,0.49,0.46,0.03,before
FL,2012-09-24,0.53,0.44,0.09,before
FL,2012-09-30,0.49,0.48,0.01,before
FL,2012-09-30,0.46,0.43,0.03,before
FL,2012-10-01,0.47,0.46,0.01,before
FL,2012-10-04,0.47,0.49,-0.02,after
FL,2012-10-04,0.46,0.49,-0.03,after
FL,2012-10-09,0.48,0.47,0.01,after
FL,2012-10-09,0.49,0.45,0.04,after
FL,2012-10-10,0.44,0.51,-0.07,after
FL,2012-10-11,0.46,0.49,-0.03,after
FL,2012-10-11,0.47,0.51,-0.04,after
FL,2012-10-11,0.48,0.47,0.01,after
FL,2012-10-14,0.48,0.49,-0.01,after
FL,2012-10-14,0.48,0.49,-0.01,after
FL,2012-10-18,0.48,0.49,-0.01,after
FL,2012-10-18,0.45,0.48,-0.03,after
FL,2012-10-18,0.48,0.45,0.03,after
FL,2012-10-18,0.48,0.42,0.06,after
FL,2012-10-18,0.47,0.48,-0.01,after
FL,2012-10-18,0.46,0.51,-0.05,after
FL,2012-10-18,0.47,0.46,0.01,after
FL,2012-10-20,0.46,0.51,-0.05,after
FL,2012-10-21,0.47,0.47,0,after
FL,2012-10-21,0.47,0.47,0,after
FL,2012-10-24,0.49,0.5,-0.01,after
FL,2012-10-24,0.47,0.45,0.02,after
FL,2012-10-24,0.46,0.51,-0.05,after
FL,2012-10-25,0.48,0.5,-0.02,after
FL,2012-10-27,0.49,0.47,0.02,after
FL,2012-10-27,0.47,0.47,0,after
FL,2012-10-28,0.49,0.5,-0.01,after
FL,2012-10-28,0.49,0.48,0.01,after
FL,2012-10-28,0.48,0.47,0.01,after
FL,2012-10-29,0.48,0.47,0.01,after
FL,2012-10-29,0.48,0.5,-0.02,after
FL,2012-10-30,0.47,0.5,-0.03,after
FL,2012-10-30,0.48,0.47,0.01,after
FL,2012-10-30,0.49,0.5,-0.01,after
FL,2012-11-01,0.45,0.51,-0.06,after
FL,2012-11-01,0.49,0.47,0.02,after
FL,2012-11-02,0.48,0.46,0.02,after
FL,2012-11-02,0.47,0.45,0.02,after
FL,2012-11-03,0.49,0.49,0,after
FL,2012-11-03,0.47,0.48,-0.01,after
FL,2012-11-04,0.47,0.52,-0.05,after
FL,2012-11-04,0.5,0.49,0.01,after
FL,2012-11-05,0.49,0.49,0,after
FL,2012-11-05,0.47,0.48,-0.01,after
FL,2012-11-05,0.48,0.48,0,after
OH,2011-10-16,0.46,0.46,0,before
OH,2011-10-23,0.45,0.41,0.04,before
OH,2011-11-06,0.5,0.41,0.09,before
OH,2011-11-07,0.45,0.42,0.03,before
OH,2011-12-05,0.42,0.43,-0.01,before
OH,2012-01-16,0.44,0.42,0.02,before
OH,2012-01-29,0.49,0.42,0.07,before
OH,2012-02-08,0.45,0.41,0.04,before
OH,2012-02-12,0.46,0.44,0.02,before
OH,2012-02-13,0.38,0.44,-0.06,before
OH,2012-03-02,0.5,0.38,0.12,before
OH,2012-03-26,0.47,0.41,0.06,before
OH,2012-03-26,0.48,0.4,0.08,before
OH,2012-04-17,0.45,0.39,0.06,before
OH,2012-04-18,0.46,0.42,0.04,before
OH,2012-04-23,0.49,0.44,0.05,before
OH,2012-05-01,0.44,0.42,0.02,before
OH,2012-05-06,0.5,0.43,0.07,before
OH,2012-05-07,0.45,0.44,0.01,before
OH,2012-05-20,0.48,0.42,0.06,before
OH,2012-05-29,0.44,0.46,-0.02,before
OH,2012-06-05,0.45,0.48,-0.03,before
OH,2012-06-24,0.47,0.44,0.03,before
OH,2012-06-25,0.47,0.38,0.09,before
OH,2012-07-03,0.48,0.41,0.07,before
OH,2012-07-13,0.48,0.45,0.03,before
OH,2012-07-18,0.47,0.45,0.02,before
OH,2012-07-24,0.45,0.43,0.02,before
OH,2012-07-24,0.48,0.4,0.08,before
OH,2012-07-30,0.5,0.44,0.06,before
OH,2012-08-12,0.48,0.45,0.03,before
OH,2012-08-13,0.45,0.45,0,before
OH,2012-08-14,0.44,0.46,-0.02,before
OH,2012-08-21,0.5,0.44,0.06,before
OH,2012-08-21,0.49,0.46,0.03,before
OH,2012-08-25,0.45,0.45,0,before
OH,2012-08-27,0.45,0.44,0.01,before
OH,2012-09-02,0.44,0.47,-0.03,before
OH,2012-09-08,0.47,0.43,0.04,before
OH,2012-09-09,0.5,0.45,0.05,before
OH,2012-09-11,0.5,0.43,0.07,before
OH,2012-09-12,0.48,0.47,0.01,before
OH,2012-09-12,0.47,0.46,0.01,before
OH,2012-09-14,0.47,0.44,0.03,before
OH,2012-09-15,0.47,0.44,0.03,before
OH,2012-09-18,0.49,0.42,0.07,before
OH,2012-09-18,0.51,0.46,0.05,before
OH,2012-09-18,0.5,0.44,0.06,before
OH,2012-09-19,0.48,0.44,0.04,before
OH,2012-09-22,0.45,0.44,0.01,before
OH,2012-09-23,0.52,0.44,0.08,before
OH,2012-09-24,0.53,0.43,0.1,before
OH,2012-09-29,0.51,0.42,0.09,before
OH,2012-09-30,0.49,0.45,0.04,before
OH,2012-10-01,0.51,0.43,0.08,before
OH,2012-10-01,0.5,0.43,0.07,before
OH,2012-10-04,0.5,0.49,0.01,after
OH,2012-10-04,0.46,0.47,-0.01,after
OH,2012-10-05,0.47,0.48,-0.01,after
OH,2012-10-08,0.47,0.48,-0.01,after
OH,2012-10-08,0.51,0.47,0.04,after
OH,2012-10-08,0.47,0.46,0.01,after
OH,2012-10-08,0.45,0.44,0.01,after
OH,2012-10-09,0.51,0.45,0.06,after
OH,2012-10-10,0.45,0.46,-0.01,after
OH,2012-10-10,0.48,0.47,0.01,after
OH,2012-10-11,0.5,0.46,0.04,after
OH,2012-10-13,0.51,0.46,0.05,after
OH,2012-10-15,0.46,0.47,-0.01,after
OH,2012-10-15,0.45,0.42,0.03,after
OH,2012-10-17,0.49,0.48,0.01,after
OH,2012-10-18,0.46,0.43,0.03,after
OH,2012-10-19,0.47,0.47,0,after
OH,2012-10-20,0.48,0.48,0,after
OH,2012-10-20,0.49,0.48,0.01,after
OH,2012-10-20,0.5,0.45,0.05,after
OH,2012-10-21,0.5,0.45,0.05,after
OH,2012-10-21,0.47,0.47,0,after
OH,2012-10-22,0.47,0.44,0.03,after
OH,2012-10-23,0.46,0.44,0.02,after
OH,2012-10-23,0.49,0.49,0,after
OH,2012-10-23,0.48,0.48,0,after
OH,2012-10-23,0.49,0.44,0.05,after
OH,2012-10-25,0.49,0.47,0.02,after
OH,2012-10-25,0.5,0.46,0.04,after
OH,2012-10-25,0.49,0.44,0.05,after
OH,2012-10-25,0.46,0.44,0.02,after
OH,2012-10-27,0.5,0.49,0.01,after
OH,2012-10-28,0.49,0.46,0.03,after
OH,2012-10-28,0.51,0.47,0.04,after
OH,2012-10-28,0.5,0.45,0.05,after
OH,2012-10-28,0.48,0.5,-0.02,after
OH,2012-10-29,0.48,0.45,0.03,after
OH,2012-10-29,0.48,0.46,0.02,after
OH,2012-10-29,0.48,0.45,0.03,after
OH,2012-10-30,0.5,0.44,0.06,after
OH,2012-10-30,0.5,0.45,0.05,after
OH,2012-10-30,0.48,0.46,0.02,after
OH,2012-10-31,0.46,0.49,-0.03,after
OH,2012-11-01,0.5,0.47,0.03,after
OH,2012-11-01,0.51,0.45,0.06,after
OH,2012-11-01,0.49,0.49,0,after
OH,2012-11-01,0.5,0.46,0.04,after
OH,2012-11-02,0.49,0.45,0.04,after
OH,2012-11-02,0.47,0.45,0.02,after
OH,2012-11-03,0.5,0.48,0.02,after
OH,2012-11-03,0.49,0.46,0.03,after
OH,2012-11-04,0.51,0.48,0.03,after
OH,2012-11-04,0.52,0.47,0.05,after
OH,2012-11-04,0.49,0.49,0,after
OH,2012-11-04,0.49,0.44,0.05,after
OH,2012-11-04,0.5,0.49,0.01,after
OH,2012-11-05,0.49,0.48,0.01,after
OH,2012-11-05,0.5,0.46,0.04,after
OH,2012-11-05,0.51,0.44,0.07,after
VA,2010-11-13,0.48,0.43,0.05,before
VA,2011-02-27,0.48,0.42,0.06,before
VA,2011-05-04,0.5,0.44,0.06,before
VA,2011-05-08,0.51,0.4,0.11,before
VA,2011-10-08,0.42,0.46,-0.04,before
VA,2011-10-09,0.47,0.42,0.05,before
VA,2011-12-13,0.48,0.42,0.06,before
VA,2011-12-19,0.42,0.44,-0.02,before
VA,2012-01-18,0.45,0.44,0.01,before
VA,2012-02-06,0.47,0.43,0.04,before
VA,2012-02-13,0.43,0.46,-0.03,before
VA,2012-02-21,0.49,0.43,0.06,before
VA,2012-02-26,0.42,0.43,-0.01,before
VA,2012-03-02,0.52,0.35,0.17,before
VA,2012-03-18,0.5,0.42,0.08,before
VA,2012-03-20,0.51,0.42,0.09,before
VA,2012-04-05,0.4,0.46,-0.06,before
VA,2012-04-23,0.48,0.46,0.02,before
VA,2012-04-23,0.44,0.45,-0.01,before
VA,2012-04-29,0.51,0.43,0.08,before
VA,2012-05-02,0.51,0.44,0.07,before
VA,2012-05-20,0.48,0.44,0.04,before
VA,2012-06-03,0.47,0.47,0,before
VA,2012-06-04,0.47,0.42,0.05,before
VA,2012-06-05,0.49,0.46,0.03,before
VA,2012-06-15,0.49,0.42,0.07,before
VA,2012-06-25,0.43,0.48,-0.05,before
VA,2012-07-03,0.46,0.43,0.03,before
VA,2012-07-08,0.5,0.42,0.08,before
VA,2012-07-13,0.46,0.44,0.02,before
VA,2012-07-16,0.44,0.44,0,before
VA,2012-07-17,0.47,0.46,0.01,before
VA,2012-08-06,0.49,0.45,0.04,before
VA,2012-08-07,0.48,0.46,0.02,before
VA,2012-08-14,0.45,0.48,-0.03,before
VA,2012-08-19,0.5,0.45,0.05,before
VA,2012-08-23,0.47,0.47,0,before
VA,2012-09-09,0.44,0.49,-0.05,before
VA,2012-09-11,0.49,0.44,0.05,before
VA,2012-09-13,0.49,0.48,0.01,before
VA,2012-09-14,0.48,0.44,0.04,before
VA,2012-09-16,0.51,0.46,0.05,before
VA,2012-09-16,0.52,0.44,0.08,before
VA,2012-09-17,0.5,0.46,0.04,before
VA,2012-09-17,0.49,0.46,0.03,before
VA,2012-09-18,0.49,0.42,0.07,before
VA,2012-09-19,0.49,0.43,0.06,before
VA,2012-09-19,0.46,0.43,0.03,before
VA,2012-09-26,0.46,0.44,0.02,before
VA,2012-09-27,0.49,0.47,0.02,before
VA,2012-09-28,0.47,0.39,0.08,before
VA,2012-10-01,0.48,0.46,0.02,before
VA,2012-10-01,0.48,0.47,0.01,before
VA,2012-10-04,0.48,0.49,-0.01,after
VA,2012-10-04,0.45,0.48,-0.03,after
VA,2012-10-07,0.5,0.47,0.03,after
VA,2012-10-08,0.48,0.48,0,after
VA,2012-10-09,0.44,0.51,-0.07,after
VA,2012-10-09,0.47,0.48,-0.01,after
VA,2012-10-09,0.51,0.46,0.05,after
VA,2012-10-11,0.47,0.49,-0.02,after
VA,2012-10-11,0.46,0.45,0.01,after
VA,2012-10-14,0.47,0.48,-0.01,after
VA,2012-10-15,0.47,0.46,0.01,after
VA,2012-10-16,0.49,0.48,0.01,after
VA,2012-10-17,0.5,0.43,0.07,after
VA,2012-10-18,0.47,0.5,-0.03,after
VA,2012-10-19,0.49,0.47,0.02,after
VA,2012-10-20,0.47,0.49,-0.02,after
VA,2012-10-21,0.46,0.45,0.01,after
VA,2012-10-24,0.44,0.46,-0.02,after
VA,2012-10-24,0.51,0.46,0.05,after
VA,2012-10-24,0.48,0.5,-0.02,after
VA,2012-10-25,0.48,0.48,0,after
VA,2012-10-25,0.47,0.47,0,after
VA,2012-10-26,0.48,0.48,0,after
VA,2012-10-26,0.44,0.5,-0.06,after
VA,2012-10-26,0.51,0.47,0.04,after
VA,2012-10-27,0.49,0.46,0.03,after
VA,2012-10-28,0.49,0.47,0.02,after
VA,2012-10-30,0.47,0.48,-0.01,after
VA,2012-10-30,0.49,0.48,0.01,after
VA,2012-10-31,0.49,0.46,0.03,after
VA,2012-11-01,0.49,0.48,0.01,after
VA,2012-11-02,0.48,0.45,0.03,after
VA,2012-11-02,0.48,0.45,0.03,after
VA,2012-11-02,0.48,0.47,0.01,after
VA,2012-11-03,0.48,0.46,0.02,after
VA,2012-11-04,0.51,0.47,0.04,after
VA,2012-11-04,0.48,0.5,-0.02,after
VA,2012-11-05,0.48,0.46,0.02,after
VA,2012-11-05,0.59,0.48,0.11,after
